ax,ay,az,gx,gy,gz,Lebal
-0.552422144,-2.775592364,9.88300138,0.019120517,-0.120905536,0.057919347,1
-0.80266806,-1.945555094,9.899162988,-0.013447209,-0.165271544,0.049958065,1
0.507736478,-1.33756286,9.762760812,-0.064540753,0.016221032,-0.055772935,1
2.236898243,-1.880742053,9.804427693,0.042295591,0.110617811,-0.183632461,1
1.425970885,-3.012127257,9.893697291,0.146983343,-0.03093189,-0.132297656,1
-0.395533785,-2.935839615,9.928529626,0.042733907,-0.117565452,0.119221001,1
-0.5968723,-2.116916508,10.02253502,-0.114852954,-0.150366358,0.086126245,1
0.261626534,-2.325099815,10.09181995,-0.00292602,0.034323709,-0.05625233,1
1.770952885,-2.055105505,10.18399435,0.066434936,0.052886672,-0.208630571,1
1.897943464,-2.636845356,9.844263583,0.100330782,0.019896378,-0.169344306,1
0.659831155,-2.110751081,10.00974188,0.144897113,-0.023183145,0.004049379,1
-0.220875185,-2.090758762,10.13050419,0.175447498,-0.121537773,0.03539057,1
0.517587033,-2.058341094,9.61708455,-0.051815104,-0.005187482,-0.077058741,1
2.195189112,-2.366198469,9.567958789,-0.093255625,0.134550382,-0.205144423,1
1.96826104,-2.797131423,9.823329419,-0.01582902,0.034775327,-0.232745076,1
0.486050117,-2.366721358,9.952414671,0.081735512,-0.01952945,-0.018025238,1
-0.08684085,-1.486853642,9.759036763,-0.040537826,-0.058473669,0.009875234,1
0.411439863,-1.862904056,9.677752308,-0.000912,-0.009353108,-0.139528022,1
1.438662059,-2.711599629,10.0382321,0.101360369,0.022454385,-0.217238264,1
1.87693065,-2.248872762,10.13439513,0.092219183,-0.023990701,-0.234466642,1
1.066570476,-1.866180719,9.924019061,-0.036493482,-0.045042154,-0.12415182,1
0.971178874,-1.7469363,10.00623071,-0.053850302,-0.092932481,-0.113510104,1
2.138658155,-2.722508203,9.667618968,-0.019770963,-0.032719564,-0.262836459,1
2.756448496,-1.883157571,9.819115,-0.051695568,-0.009701391,-0.315947935,1
1.533247127,-2.39432196,9.876779398,0.005833605,-0.08917346,-0.151547465,1
1.124650238,-1.978456442,10.05838033,0.077166669,-0.108942544,-0.132377075,1
2.526564808,-2.185499272,9.582573151,-0.01241298,-0.051384536,-0.250835378,1
3.149865427,-1.733471523,9.698134703,-0.031466801,-0.03861055,-0.342735939,1
2.099349507,-2.127334139,10.14125387,0.049500357,-0.087194213,-0.203746448,1
1.653591288,-2.092938179,10.5212043,0.125911068,-0.120801353,-0.20587159,1
2.45018345,-1.919297516,10.26506593,0.022497241,-0.062866081,-0.329022567,1
3.107805152,-1.830508386,9.935805146,-0.077752224,-0.058277088,-0.368013705,1
2.649776374,-1.921994883,9.943178891,-0.04069548,-0.077237396,-0.343203514,1
2.468925532,-1.870989403,10.22140346,0.00065,-0.077192122,-0.296134641,1
2.67614683,-2.114579321,10.36221332,0.038717777,-0.048497129,-0.347311026,1
2.86802003,-2.287710354,10.23073505,0.046888989,-0.045663567,-0.331456312,1
3.02457484,-2.253608201,9.753448271,-0.018159598,-0.039288552,-0.372735753,1
2.292369194,-1.65583858,9.968318344,-0.011666535,-0.028256449,-0.343284307,1
1.601773638,-2.239718666,10.22341883,0.019800094,-0.046059573,-0.287283457,1
2.709891846,-1.69068747,10.82217274,0.087486345,-0.052837957,-0.369804685,1
3.323597852,-1.338693356,10.4391578,0.006849952,-0.008787919,-0.481221955,1
2.566092224,-1.556803575,10.04726532,0.016722847,-0.096569115,-0.368253671,1
1.537065714,-2.050245182,10.35771844,0.099236299,-0.098694216,-0.247461646,1
1.980430988,-1.228861561,10.81297311,0.121766576,-0.026313108,-0.345085462,1
2.583509216,-1.58423976,10.53496353,0.038416411,-0.046559936,-0.453367202,1
2.057743036,-1.383410077,10.4180263,-0.003524394,-0.044380435,-0.417403138,1
1.269080862,-0.884899742,10.49351803,0.034438217,-0.09331795,-0.316369865,1
1.63238837,-1.387256998,10.26238673,0.059743559,-0.110170087,-0.414572067,1
2.530835374,-0.763261667,10.79484153,0.072693882,-0.075179904,-0.509029306,1
2.549132376,-0.936918476,11.0566104,0.135248579,-0.095846646,-0.420618433,1
2.342531122,-1.085151933,10.37092812,0.075776416,-0.119117976,-0.423868164,1
